id,name,price,duration,description,category,user,image
33,Spa Sensations: Creating a Relaxing,400.00,01:00,"Feel deeply relaxed and rejuvenated as stress and tensions melt from the body. Your mind will be calmer and senses awakened, restoring feelings of wellbeing.",9,2,service/spa.jpg
32,BODY WAXING,500.00,02:00,"Apply the wax. Apply the wax to a small section of your skin with unwanted hair. For the best results, always spread the wax in the direction of hair growth.
Apply the cloth strip. Once the wax is applied, place the cloth strip over the wax and press down firmly. Leave the cloth on for two to three seconds.",5,2,service/wax3.png
31,Depilation: Aroma Studio Pula,380.00,01:00,"Wash and dry the area. Before waxing, gently wash the area you’re about to wax to remove dirt, dead skin cells and skin care products. Afterwards, dry your skin thoroughly. Clean, dry skin allows the wax to adhere properly.
Warm the wax. Follow the directions on the package, and always test the temperature of the wax by applying a small amount to the inside of your wrist. It should be warm, but not hurt or burn.",5,2,service/wax2.jpg
30,The Great Depilation Debate,360.00,01:00,"Ensure optimal hair length. Before waxing, make sure your hair is about one-fourth to three-fourths of an inch long. If hair is longer, trim it to a shorter length using safety scissors so that waxing will be less messy and painful. Avoid retinoid creams before waxing. Avoid using over-the-counter skin care products containing retinol and prescription retinoids two to five days prior to waxing your face to avoid removing skin along with your hair.",5,3,service/wax1.jpg
29,Waxing Hair Removal: Advantages,320.00,01:00,"At-home waxing can be an affordable method for hair removal, but it’s important to take precautions. Never wax sunburned or very sensitive skin, and don’t wax if you have taken isotretinoin in the last six months. It may also be a good idea to leave Brazilian waxes to the professionals, since the skin in that area is particularly delicate.",5,3,service/wax.webp
28,Wedding & Special Event,15000.00,02:00,"Hair + Makeup Engagement Session for the Blushing Bride
Hair + Makeup Bridal Session for the Blushing Bride
Pink Palette Touch–Up Kit for the wedding day of
False Lash Application - Complimentary with Makeup Application (Individual and Strips available)",4,3,service/brid3.jpg
27,Bridal Med Spa Packages Scottsdale,1000.00,02:30,"Hair + Makeup for the Blushing Bride Day of
Hair + Makeup for Mother of the Bride 
Hair + Makeup for Maid of Honor 
Hair + Makeup for Mother of the Groom 
Hair + Makeup for (4) Bridesmaids or Attendants
Hair + Makeup Pre-Wedding Trial for the Blushing Bride",4,3,service/brid2.webp
26,Bridal Hair Makeup Packages Toronto,980.00,02:30,"Hair + Makeup for the Blushing Bride Day of 

Hair + Makeup for Mother of the Bride

Hair + Makeup for Maid of Honor

Hair + Makeup for Mother of the Groom

Hair + Makeup Pre-Wedding Trial for the Blushing Bride 

False Lash Application - Complimentary with Makeup Application (Individual and Strips available)",4,2,service/brid1.jpg
25,The DOs and DON'Ts of Choosing Your Wedding,860.00,02:00,"Beautiful Package
Hair + Makeup for the Blushing Bride Day of
Hair + Makeup for (5) Bridesmaids or Attendants
Hair + Makeup Pre-Wedding Trial for the Blushing Bride
False Lash Application - Complimentary with Makeup Application (Individual and Strips available)",4,2,service/brid.webp
24,"Beauty consultation Stock Photos, Royalty",280.00,01:30,"Remembering information about individual clients will make them feel catered to and memorable, ensuring their return to your business. After all, who wouldn’t want to stick to their beauty therapist who knows all about them and their needs rather than try out someone new with whom you have to start from scratch?",3,3,service/beauty3.jpg
