id,name,district
1,Qaratao‘,1
2,Jayxun mahallasi,1
3,Sarbinaz,1
4,Өrnek,1
5,Jeke terek,1
6,Jas әo‘lәd MPJ,1
7,Isbilermenler aymagы MPJ,1
8,Nurlы bostan,1
9,Abat mәkan MPJ,1
10,Jasыl bag‘  MPJ,1
11,Jana zaman MPJ,1
12,Shadlы ao‘ыl MPJ,1
13,Almazar,1
14,Jiydeli baysыn,1
15,Altыn jag‘ыs,1
16,Uzыn kol,1
17,Tele oray,1
18,Darbent,1
19,Amudarya,1
20,Kattagar,1
21,Gone kala mahallasi,1
22,Temir jol,1
23,Taslaq mahallasi,1
24,Yeli abat,1
25,Nur,1
26,Bes tobe mahallasi,1
27,Baqshыlыq,1
28,Guzar,1
29,Bereket,1
30,Qoskөl,1
31,G‘arezsizlik,1
32,Xalыqlar doslыg‘ы,1
33,Boz ao‘ыl,1
34,Shayыrlar ao‘ыlы,1
35,Qurыlыsshы,1
36,Gulzar,1
37,Vatanparvar,1
38,Qosbulaq mahallasi,1
39,Shыmbay gүzari,1
40,Samanbay mahallasi,1
41,Bayterek mahallasi,1
42,Naupir mahallasi,1
43,Janabazar,1
44,Turan mahallasi,1
45,Tung‘ыsh qonыs,1
46,Tыnыshlыq,1
47,Amanlыq guzari,1
48,Aq otau,1
49,Allaniyaz Qaharman mahallasi,1
50,Anasay mahallasi,1
51,Doslыq,1
52,Naubaxar mahallasi,1
53,Jipek jolы mahallasi,1
54,Xao‘a jolы mahallasi,1
55,Shыmbay-shayxana,1
56,Qutlы mәkan mahallasi,1
57,Nao‘rыz mahallasi,1
58,Juo‘azshы mahallasi,1
59,Shыg‘ыs mahallasi,1
60,Ata mәkan,1
61,Nao‘kan bag‘ mahallasi,1
62,Qumbыz auыl,1
63,Qыzыl qum mahallasi,1
64,Aq jag‘ыs mahallasi,1
65,Kөk өzek mahallasi,1
66,Aydыn jol mahallasi,1
67,Botanika bag‘ы,1
68,Qutlы qonыs mahallasi,1
69,Jolshыlar mahallasi,1
70,Doslыk guzarы mahallasi,1
71,Qum ovul,1
72,Beruniy MFY,2
73,Qum-yop MFY,2
74,Amir Temur OFY,2
75,Besh tom MFY,2
76,Durman OFY,2
77,Bosuv mahallasi,2
78,Gulzor MFY,2
79,Qipchoq SHFY,2
80,Qipchoq OFY,2
81,Olmazor MFY,2
82,Uyshin MFY,2
83,Ayoqchi MFY,2
84,Besh ovul MFY,2
85,Dustlik MFY,2
86,Qilichboy OFY,2
87,Xolimbeg OFY,2
88,Yuqori qishloq MFY,2
89,Yangiobod MFY,2
90,Boy ovul MFY,2
91,Durunki MFY,2
92,Jumur ovul MFY,2
93,Z.M.Bobur OFY,2
94,Qizilcholi MFY,2
95,Tor yop MFY,2
96,Xitoy OFY,2
97,Qangli OFY,2
98,Alisher Navoiy MFY,2
99,Namuna MFY,2
100,Xizr eli MFY,2
101,Farovon mahallasi,2
102,Qoramon MFY,2
103,Oq oltin OFY,2
104,Tosh yop OFY,2
105,Nazarxon OFY,2
106,Chordara MFY,2
107,Oybek MFY,2
108,Bog‘ MFY,2
109,Kuyuk ko‘pir OFY,2
110,To‘lqin OFY,2
111,Bo‘z-yop OFY,2
112,Bo‘z solma MFY,2
113,O‘zbekiston MFY,2
114,Tosh qal’a MFY,2
115,Jumurtov SHFY,2
116,Arna bo‘yi MFY,2
117,O‘rta qal’a OFY,2
118,Choyko‘l OFY,2
119,Bo‘ston MFY,2
120,Daryo bo‘yi MFY,2
121,Biybazar OFY,3
122,Birlik mahallasi,3
123,Bunyodkor mahallasi,3
124,Guliston mahallasi,3
125,Jayxun mahallasi,3
126,Istiqlol mahallasi,3
127,Qangshartol mahallasi,3
128,Do‘stlik OFY,3
129,Ozod OFY,3
130,Palvash mahallasi,3
131,Paxtakor mahallasi,3
132,Sarkop OFY,3
133,Turon mahallasi,3
134,Xorazm mahallasi,3
135,Shabboz mahallasi,3
136,Tinchlik OFY,3
137,Qiyat mahallasi,3
138,Markaziy mahallasi,3
139,Mustaqillik mahallasi,3
140,Navoiy mahallasi,3
141,Nayman mahallasi,3
142,Abay,3
143,Amir Temur mahallasi,3
144,Yangiobod,3
145,Navoiy OFY,3
146,Shabbaz OFY,3
147,U.Jumaniyazov mahallasi,3
148,Shimom OFY,3
149,Maxtumkuli OFY,3
150,Saroyko‘l,3
151,Oltinsoy mahallasi,3
152,Lolazor MFY,3
153,Obi?ayot MFY,3
154,Beruniy,3
155,Navro‘z mahallasi,3
156,Kizilkal’a OFY,3
157,Do‘stlik mahallasi,3
158,Bo‘ston mahallasi,3
159,To‘qimachi,3
160,Ibn-Sino mahallasi,3
161,Jayxun OFY,4
162,Besko‘pir OFY,4
163,Navro‘z OFY,4
164,Arzqmbetqum OFY,4
165,Bostan OFY,4
166,Doslik MFY,4
167,Jana qala OFY,4
168,Qosjap OFY,4
169,Madaniyat MFY,4
170,Qonlikul SHFY,4
171,Altыnkөl  OFY,4
172,Qoybaq OFY,5
173,G‘arezsizlik guzari MFY,5
174,Qorao‘zak PFY,5
175,Berdaq mahallasi,5
176,Yesim MFY,5
177,Ata makan MFY,5
178,Qorao‘zak OFY,5
179,A.Dosnazarov OFY,5
180,Akademik Sabыr Kamalov OFY,5
181,Kuralpa,5
182,Madeniyat OFY,5
183,Qutli makan MFY,5
184,Yesimo‘zak OFY,5
185,Jaңabazar APJ,6
186,Nurlы bostan MFY,6
187,Abat makan mahallasi,6
188,Iyshan kala oFY,6
189,Kѳkѳzek,6
190,Jalpakjap OFY,6
191,Madeniyat mahallasi,6
192,Aktuba OFY,6
193,Kumshungil OFY,6
194,Xalqabad mahallasi,6
195,Abat OFY,6
196,Gujim terek mahallasi,6
197,Baxыtlы  MFY,6
198,Jыlo‘anjap mahallasi,6
199,Quyashlы mahallasi,6
200,Juzimbag‘ OFY,6
201,Ozodlik mahallasi,7
202,Qiyot OFY,7
203,Kuk daryo OFY,7
204,Berdax mahallasi,7
205,Gulobod mahallasi,7
206,Turkistan,7
207,Ajiniyaz OFY,7
208,Olmazor mahallasi,7
209,Jinishke mahallasi,7
210,Qumbiz mahallasi,7
211,Monshaqli mahallasi,7
212,Urnak OFY,7
213,Ravshan OFY,7
214,Sanoat mahallasi,7
215,Talliq mahallasi,7
216,Taraqli mahallasi,7
217,Turon mahallasi,7
218,Ustyurt OFY,7
219,Xanjap mahallasi,7
220,Xorazm OFY,7
221,Hokim ota mahallasi,7
222,Mehnatobod OFY,7
223,Qoratol mahallasi,7
224,Adabiyot OFY,7
225,Navoiy mahallasi,7
226,Yelobod SHFY,7
227,Qoraqalpog‘iston SHFY,7
228,Mingjarg‘on mahallasi,7
229,Qo‘ng‘irot mahallasi,7
230,Qыpshaq OFY,7
231,Kыrыk kыz SHFY,7
232,Suuyenli OFY,7
233,Kanlы OFY,7
234,Bo‘ston mahallasi,7
235,Qo‘ng‘irot OFY,7
236,Temir yo‘l mahallasi,7
237,Oltinko‘l SHFY,7
238,Jaslыq SHFY,7
239,Qashы mahallasi,7
240,Qiziljar OFY,8
241,Qozoqdaryo OFY,8
242,Uchsay OFY,8
243,Muynoq mahallasi,8
244,Aral,8
245,Hәkimata,8
246,Mәdeli,8
247,Jәyhun,8
248,Talы ozek mahallasi,8
249,Tik o‘zyak OFY,8
250,Do‘stlik mahallasi,8
251,Bozatao‘,8
252,Diyxan arna MPJ,9
253,Darsan MPJ,9
254,Үlgili makan MPJ,9
255,Qirantov,9
256,Kerder,9
